wavelenght,responsivity,response,lin_cal_set,log_cal_set,dB_add_on_factor
360,0.0611,12.4,,,9.006
380,0.0758,15.4,,,8.068
400,0.1154,23.5,0.867,0.115,6.245
420,0.1567,31.9,0.638,0.157,4.917
440,0.194,39.5,0.515,0.194,3.989
460,0.2251,45.8,0.444,0.225,3.344
480,0.2515,51.2,0.398,0.252,2.862
500,0.2754,56.1,0.363,0.275,2.468
520,0.2938,59.8,0.34,0.294,2.187
540,0.3124,63.6,0.32,0.312,1.92
560,0.329,67,0.304,0.329,1.695
580,0.3436,70,0.291,0.344,1.507
600,0.3559,72.5,0.281,0.356,1.354
620,0.3679,74.9,0.272,0.368,1.21
640,0.3787,77.1,0.264,0.379,1.084
660,0.389,79.2,0.257,0.389,0.968
680,0.4002,81.5,0.25,0.4,0.844
700,0.4099,83.5,0.244,0.41,0.74
720,0.4185,85.2,0.239,0.419,0.65
740,0.429,87.4,0.233,0.429,0.543
760,0.4378,89.1,0.228,0.438,0.454
780,0.4465,90.9,0.224,0.447,0.369
800,0.4537,92.4,0.22,0.454,0.3
820,0.4624,94.2,0.216,0.462,0.217
840,0.4682,95.3,0.214,0.468,0.163
860,0.4758,96.9,0.21,0.476,0.093
880,0.4815,98,0.208,0.482,0.041
900,0.4861,99,0.206,0.486,0
920,0.4911,100,0.204,0.491,-0.044
940,0.4892,99.6,0.204,0.489,-0.028
960,0.4822,98.2,0.207,0.482,0.035
980,0.4694,95.6,0.213,0.469,0.015
1000,0.4416,89.9,0.226,0.442,0.417
1020,0.3685,75,0.271,0.369,1.203
1040,0.2712,55.2,0.369,0.271,2.534
1060,0.1892,38.5,0.529,0.189,4.098
1080,0.122,24.8,0.82,0.122,6.004
1100,0.0821,16.7,,,7.725